"Рік","Область","number","prcnt_of_last_year"
2024.0,Івано-Франківська область,667,
2025.0,Івано-Франківська область,574,-13.94
2024.0,Волинська область,717,
2025.0,Волинська область,652,-9.07
2024.0,Вінницька область,543,
2025.0,Вінницька область,507,-6.63
2024.0,Дніпропетровська область,1015,
2025.0,Дніпропетровська область,760,-25.12
2024.0,Житомирська область,334,
2025.0,Житомирська область,289,-13.47
2024.0,Закарпатська область,165,
2025.0,Закарпатська область,172,4.24
2024.0,Запорізька область,363,
2025.0,Запорізька область,225,-38.02
2024.0,Київська область,229,
2025.0,Київська область,559,144.10
2024.0,Кіровоградська область,277,
2025.0,Кіровоградська область,305,10.11
2024.0,Львівська область,1055,
2025.0,Львівська область,890,-15.64
2024.0,Миколаївська область,32,
2025.0,Миколаївська область,201,528.13
2024.0,Одеська область,739,
2025.0,Одеська область,419,-43.30
2024.0,Полтавська область,516,
2025.0,Полтавська область,385,-25.39
2024.0,Рівненська область,421,
2025.0,Рівненська область,337,-19.95
2024.0,Сумська область,271,
2025.0,Сумська область,375,38.38
2024.0,Тернопільська область,275,
2025.0,Тернопільська область,352,28.00
2024.0,Харківська область,500,
2025.0,Харківська область,609,21.80
2024.0,Хмельницька область,189,
2025.0,Хмельницька область,237,25.40
2024.0,Черкаська область,407,
2025.0,Черкаська область,409,0.49
2024.0,Чернівецька область,284,
2025.0,Чернівецька область,216,-23.94
2024.0,Чернігівська область,304,
2025.0,Чернігівська область,214,-29.61
2024.0,м. Київ,2887,
2025.0,м. Київ,2157,-25.29
