"Місяць створення","Корпоративний клієнт","count"
2025-01-01 00:00:00.000,B2B,176
2025-05-01 00:00:00.000,B2C,2261
2024-08-01 00:00:00.000,B2B,184
2024-04-01 00:00:00.000,B2C,2549
2025-05-01 00:00:00.000,B2B,124
2025-06-01 00:00:00.000,B2B,35
2024-03-01 00:00:00.000,B2C,2343
2024-06-01 00:00:00.000,B2C,2293
2024-07-01 00:00:00.000,B2B,167
2024-10-01 00:00:00.000,B2B,199
2025-02-01 00:00:00.000,B2B,169
2024-12-01 00:00:00.000,B2C,1781
2025-06-01 00:00:00.000,B2C,817
2024-09-01 00:00:00.000,B2C,2455
2024-08-01 00:00:00.000,B2C,2349
2024-02-01 00:00:00.000,B2C,2177
2024-05-01 00:00:00.000,B2C,2266
2024-06-01 00:00:00.000,B2B,148
2024-03-01 00:00:00.000,B2B,185
2025-04-01 00:00:00.000,B2B,156
2025-02-01 00:00:00.000,B2C,1664
2024-05-01 00:00:00.000,B2B,156
2025-03-01 00:00:00.000,B2C,2148
2024-02-01 00:00:00.000,B2B,199
2024-12-01 00:00:00.000,B2B,177
2024-11-01 00:00:00.000,B2B,199
2024-01-01 00:00:00.000,B2C,1933
2024-07-01 00:00:00.000,B2C,2820
2024-10-01 00:00:00.000,B2C,2530
2024-09-01 00:00:00.000,B2B,229
2025-01-01 00:00:00.000,B2C,1769
2024-01-01 00:00:00.000,B2B,191
2025-04-01 00:00:00.000,B2C,2201
2024-04-01 00:00:00.000,B2B,191
2024-11-01 00:00:00.000,B2C,2230
2025-03-01 00:00:00.000,B2B,176
